id_correlativo,codigo_vendedor,codigo_producto,razon
16,AP,,compra no encontrada
23,AP,,compra no encontrada
23,AP,,compra no encontrada
23,AP,,compra no encontrada
416,AP,,compra no encontrada
546,AP,,compra no encontrada
582,AP,,compra no encontrada
673,AP,,compra no encontrada
732,AP,,compra no encontrada
753,AP,,compra no encontrada
790,AP,,compra no encontrada
935,AP,,compra no encontrada
1159,AP,,compra no encontrada
1159,AP,,compra no encontrada
296,V1,,compra no encontrada
476,V1,,compra no encontrada
564,V1,,compra no encontrada
564,V1,,compra no encontrada
564,V1,,compra no encontrada
564,V1,,compra no encontrada
900,V1,,compra no encontrada
1032,V1,,compra no encontrada
1055,V1,,compra no encontrada
1085,V1,,compra no encontrada
1085,V1,,compra no encontrada
1085,V1,,compra no encontrada
1310,V1,,compra no encontrada
1310,V1,,compra no encontrada
1391,V1,,compra no encontrada
984,V1,,compra no encontrada
1493,V1,,compra no encontrada
1500,V1,,compra no encontrada
2171,V1,,compra no encontrada
457,V2,,compra no encontrada
587,V2,,compra no encontrada
627,V2,,compra no encontrada
675,V2,,compra no encontrada
773,V2,,compra no encontrada
787,V2,,compra no encontrada
789,V2,,compra no encontrada
577,V2,,compra no encontrada
882,V2,,compra no encontrada
885,V2,,compra no encontrada
886,V2,,compra no encontrada
887,V2,,compra no encontrada
888,V2,,compra no encontrada
1324,V2,,compra no encontrada
8,V3,,compra no encontrada
8,V3,,compra no encontrada
151,V3,,compra no encontrada
178,V3,,compra no encontrada
299,V3,,compra no encontrada
305,V3,,compra no encontrada
311,V3,,compra no encontrada
447,V3,,compra no encontrada
706,V3,,compra no encontrada
708,V3,,compra no encontrada
708,V3,,compra no encontrada
796,V3,,compra no encontrada
849,V3,,compra no encontrada
804,V3,,compra no encontrada
1005,V3,,compra no encontrada
1164,V3,,compra no encontrada
1260,V3,,compra no encontrada
1411,V3,,compra no encontrada
1436,V3,,compra no encontrada
22,V4,,compra no encontrada
29,V4,,compra no encontrada
37,V4,,compra no encontrada
144,V4,,compra no encontrada
185,V4,,compra no encontrada
210,V4,,compra no encontrada
218,V4,,compra no encontrada
293,V4,,compra no encontrada
474,V4,,compra no encontrada
481,V4,,compra no encontrada
384,V4,,compra no encontrada
496,V4,,compra no encontrada
496,V4,,compra no encontrada
205,V4,,compra no encontrada
592,V4,,compra no encontrada
593,V4,,compra no encontrada
593,V4,,compra no encontrada
202,V4,,compra no encontrada
202,V4,,compra no encontrada
202,V4,,compra no encontrada
494,V4,,compra no encontrada
492,V4,,compra no encontrada
618,V4,,compra no encontrada
626,V4,,compra no encontrada
627,V4,,compra no encontrada
625,V4,,compra no encontrada
718,V4,,compra no encontrada
728,V4,,compra no encontrada
827,V4,,compra no encontrada
835,V4,,compra no encontrada
839,V4,,compra no encontrada
866,V4,,compra no encontrada
1005,V4,N,almacen no encontrado
1005,V4,FS,almacen no encontrado
1005,V4,LNI,almacen no encontrado
1005,V4,TMC,almacen no encontrado
37,V7,,compra no encontrada
30,V7,,compra no encontrada
38,V7,,compra no encontrada
31,V7,,compra no encontrada
41,V7,,compra no encontrada
42,V7,,compra no encontrada
50,V7,,compra no encontrada
67,V7,,compra no encontrada
93,V7,,compra no encontrada
191,V7,,compra no encontrada
194,V7,,compra no encontrada
192,V7,,compra no encontrada
193,V7,,compra no encontrada
573,V7,,compra no encontrada
573,V7,,compra no encontrada
573,V7,,compra no encontrada
95,V9,,compra no encontrada
109,V9,,compra no encontrada
148,V9,,compra no encontrada
174,V9,,compra no encontrada
189,V9,,compra no encontrada
344,V9,,compra no encontrada
588,V9,,compra no encontrada
714,V9,,compra no encontrada
714,V9,,compra no encontrada
714,V9,,compra no encontrada
