id_correlativo,codigo_vendedor,codigo_producto,razon
820.0,AP,,venta no encontrada
1359.0,AP,,venta no encontrada
1468.0,AP,,venta no encontrada
1.0,AP,,producto no encontrado
1654.0,AP,,venta no encontrada
1693.0,AP,,venta no encontrada
1708.0,AP,,venta no encontrada
1983.0,AP,,venta no encontrada
2121.0,AP,,venta no encontrada
2129.0,AP,,venta no encontrada
2263.0,AP,,venta no encontrada
2363.0,AP,,venta no encontrada
2624.0,AP,,venta no encontrada
2629.0,AP,,venta no encontrada
2638.0,AP,,venta no encontrada
2699.0,AP,,venta no encontrada
2735.0,AP,,venta no encontrada
2807.0,AP,,venta no encontrada
2834.0,AP,,venta no encontrada
2833.0,AP,,venta no encontrada
2817.0,AP,,venta no encontrada
2839.0,AP,,venta no encontrada
2836.0,AP,,venta no encontrada
2854.0,AP,,venta no encontrada
2904.0,AP,,venta no encontrada
2912.0,AP,,venta no encontrada
2926.0,AP,,venta no encontrada
2927.0,AP,,venta no encontrada
2929.0,AP,,venta no encontrada
2948.0,AP,,venta no encontrada
2954.0,AP,,venta no encontrada
2950.0,AP,,venta no encontrada
2959.0,AP,,venta no encontrada
2974.0,AP,,venta no encontrada
2975.0,AP,,venta no encontrada
2964.0,AP,,venta no encontrada
2990.0,AP,,venta no encontrada
3004.0,AP,,venta no encontrada
3037.0,AP,,venta no encontrada
3034.0,AP,,venta no encontrada
3021.0,AP,,venta no encontrada
3011.0,AP,,venta no encontrada
3062.0,AP,,venta no encontrada
3065.0,AP,,venta no encontrada
3091.0,AP,,venta no encontrada
3092.0,AP,,venta no encontrada
3093.0,AP,,venta no encontrada
3099.0,AP,,venta no encontrada
3110.0,AP,,venta no encontrada
3121.0,AP,,venta no encontrada
3122.0,AP,,venta no encontrada
3123.0,AP,,venta no encontrada
2260.0,AP,AG,almacen no encontrado
3143.0,AP,,venta no encontrada
3142.0,AP,,venta no encontrada
3138.0,AP,,venta no encontrada
3167.0,AP,,venta no encontrada
3179.0,AP,,venta no encontrada
3195.0,AP,,venta no encontrada
3196.0,AP,,venta no encontrada
3226.0,AP,,venta no encontrada
3236.0,AP,,venta no encontrada
3271.0,AP,,venta no encontrada
3292.0,AP,,venta no encontrada
3313.0,AP,,venta no encontrada
3327.0,AP,,venta no encontrada
3323.0,AP,,venta no encontrada
3319.0,AP,,venta no encontrada
3358.0,AP,,venta no encontrada
3341.0,AP,,venta no encontrada
3355.0,AP,,venta no encontrada
3369.0,AP,,venta no encontrada
3422.0,AP,,venta no encontrada
3416.0,AP,,venta no encontrada
3458.0,AP,,venta no encontrada
3464.0,AP,,venta no encontrada
3479.0,AP,,venta no encontrada
3486.0,AP,,venta no encontrada
3482.0,AP,,venta no encontrada
3492.0,AP,,venta no encontrada
3524.0,AP,,venta no encontrada
3550.0,AP,,venta no encontrada
3560.0,AP,,venta no encontrada
3564.0,AP,,venta no encontrada
3572.0,AP,,venta no encontrada
3582.0,AP,,venta no encontrada
3602.0,AP,,venta no encontrada
3630.0,AP,,venta no encontrada
3625.0,AP,,venta no encontrada
3636.0,AP,,venta no encontrada
3640.0,AP,,venta no encontrada
3643.0,AP,,venta no encontrada
3654.0,AP,,venta no encontrada
3655.0,AP,,venta no encontrada
3693.0,AP,,venta no encontrada
3700.0,AP,,venta no encontrada
3705.0,AP,,venta no encontrada
3706.0,AP,,venta no encontrada
3709.0,AP,,venta no encontrada
3735.0,AP,,venta no encontrada
3747.0,AP,,venta no encontrada
3742.0,AP,,venta no encontrada
3809.0,AP,,venta no encontrada
